Completed,Height(CM),SAM(MAX),MAM(MIN),MAM(MAX),Normal(MIN),Normal(MAX),Overweight(MIN),Overweight(MAX),ObeseWeight(MAX)
Girl 0-2yr,45,1.9,1.9,2.1,2.1,3,3,3.3,3.3
Girl 0-2yr,45.5,2,2,2.1,2.1,3.1,3.1,3.4,3.4
Girl 0-2yr,46,2,2,2.2,2.2,3.2,3.2,3.5,3.5
Girl 0-2yr,46.5,2.1,2.1,2.3,2.3,3.3,3.3,3.6,3.6
Girl 0-2yr,47,2.2,2.2,2.4,2.4,3.4,3.4,3.7,3.7
Girl 0-2yr,47.5,2.2,2.2,2.4,2.4,3.5,3.5,3.8,3.8
Girl 0-2yr,48,2.3,2.3,2.5,2.5,3.6,3.6,4,4
Girl 0-2yr,48.5,2.4,2.4,2.6,2.6,3.7,3.7,4.1,4.1
Girl 0-2yr,49,2.4,2.4,2.6,2.6,3.8,3.8,4.2,4.2
Girl 0-2yr,49.5,2.5,2.5,2.7,2.7,3.9,3.9,4.3,4.3
Girl 0-2yr,50,2.6,2.6,2.8,2.8,4,4,4.5,4.5
Girl 0-2yr,50.5,2.7,2.7,2.9,2.9,4.2,4.2,4.6,4.6
Girl 0-2yr,51,2.8,2.8,3,3,4.3,4.3,4.8,4.8
Girl 0-2yr,51.5,2.8,2.8,3.1,3.1,4.4,4.4,4.9,4.9
Girl 0-2yr,52,2.9,2.9,3.2,3.2,4.6,4.6,5.1,5.1
Girl 0-2yr,52.5,3,3,3.3,3.3,4.7,4.7,5.2,5.2
Girl 0-2yr,53,3.1,3.1,3.4,3.4,4.9,4.9,5.4,5.4
Girl 0-2yr,53.5,3.2,3.2,3.5,3.5,5,5,5.5,5.5
Girl 0-2yr,54,3.3,3.3,3.6,3.6,5.2,5.2,5.7,5.7
Girl 0-2yr,54.5,3.4,3.4,3.7,3.7,5.3,5.3,5.9,5.9
Girl 0-2yr,55,3.5,3.5,3.8,3.8,5.5,5.5,6.1,6.1
Girl 0-2yr,55.5,3.6,3.6,3.9,3.9,5.7,5.7,6.3,6.3
Girl 0-2yr,56,3.7,3.7,4,4,5.8,5.8,6.4,6.4
Girl 0-2yr,56.5,3.8,3.8,4.1,4.1,6,6,6.6,6.6
Girl 0-2yr,57,3.9,3.9,4.3,4.3,6.1,6.1,6.8,6.8
Girl 0-2yr,57.5,4,4,4.4,4.4,6.3,6.3,7,7
Girl 0-2yr,58,4.1,4.1,4.5,4.5,6.5,6.5,7.1,7.1
Girl 0-2yr,58.5,4.2,4.2,4.6,4.6,6.6,6.6,7.3,7.3
