,Days,Months,S.W(MAX),M.W(MIN),M.W(MAX),N.W(MAX),S.H(MAX),M.H(MIN),M.H(MAX),N.H(MAX)
Boys 0-5 years,0,0,2.08,2.08,2.459,2.459,44.2,44.2,46.1,46.1
Boys 0-5 years,30,1,2.919,2.919,3.376,3.376,48.9,48.9,50.8,50.8
Boys 0-5 years,60,2,3.764,3.764,4.296,4.296,52.4,52.4,54.4,54.4
Boys 0-5 years,90,3,4.41,4.41,4.992,4.992,55.3,55.3,57.3,57.3
Boys 0-5 years,120,4,4.915,4.915,5.533,5.533,57.6,57.6,59.7,59.7
Boys 0-5 years,150,5,5.318,5.318,5.968,5.968,59.6,59.6,61.7,61.7
Boys 0-5 years,180,6,5.646,5.646,6.325,6.325,61.2,61.2,63.3,63.3
Boys 0-5 years,210,7,5.92,5.92,6.625,6.625,62.7,62.7,64.8,64.8
Boys 0-5 years,240,8,6.156,6.156,6.885,6.885,64,64,66.2,66.2
Boys 0-5 years,270,9,6.365,6.365,7.116,7.116,65.2,65.2,67.5,67.5
Boys 0-5 years,300,10,6.555,6.555,7.327,7.327,66.4,66.4,68.7,68.7
Boys 0-5 years,330,11,6.731,6.731,7.524,7.524,67.6,67.6,69.9,69.9
Boys 0-5 years,360,12,6.899,6.899,7.71,7.71,68.6,68.6,71,71
Boys 0-5 years,390,13,7.059,7.059,7.889,7.889,69.6,69.6,72.1,72.1
Boys 0-5 years,420,14,7.213,7.213,8.061,8.061,70.6,70.6,73.1,73.1
Boys 0-5 years,450,15,7.362,7.362,8.229,8.229,71.6,71.6,74.1,74.1
Boys 0-5 years,480,16,7.508,7.508,8.393,8.393,72.5,72.5,75,75
Boys 0-5 years,510,17,7.651,7.651,8.554,8.554,73.3,73.3,76,76
Boys 0-5 years,540,18,7.79,7.79,8.712,8.712,74.2,74.2,76.9,76.9
Boys 0-5 years,570,19,7.928,7.928,8.867,8.867,75,75,77.7,77.7
Boys 0-5 years,600,20,8.062,8.062,9.021,9.021,75.8,75.8,78.6,78.6
Boys 0-5 years,630,21,8.196,8.196,9.173,9.173,76.5,76.5,79.4,79.4
Boys 0-5 years,660,22,8.328,8.328,9.323,9.323,77.2,77.2,80.2,80.2
Boys 0-5 years,690,23,8.458,8.458,9.473,9.473,78,78,81,81
